Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
sheet = wb.getSheetAt(0),Chrome 148.0.7778.179,,,27-05-2026 10:06:52,27-05-2026 10:06:52,"0,001s",PASSED
fis.close(),Chrome 148.0.7778.179,,,27-05-2026 10:06:52,27-05-2026 10:06:52,"0,001s",PASSED
totalRows = sheet.getLastRowNum(),Chrome 148.0.7778.179,,,27-05-2026 10:06:52,27-05-2026 10:06:52,"0,001s",PASSED
timeout = TIMEOUT,Chrome 148.0.7778.179,,,27-05-2026 10:06:52,27-05-2026 10:06:52,"0,000s",PASSED
"for ([i = 1, i <= totalRows, (i++)])",Chrome 148.0.7778.179,,,27-05-2026 10:06:52,27-05-2026 10:08:25,"1m - 32,954s",PASSED
wb.close(),Chrome 148.0.7778.179,,,27-05-2026 10:08:25,27-05-2026 10:08:25,"0,001s",PASSED
"comment(""=== TC04 Hoàn tất ==="")",Chrome 148.0.7778.179,,,27-05-2026 10:08:25,27-05-2026 10:08:25,"0,001s",PASSED
,,,,,,,
Test Cases/TC05_TaoThanhToan,Chrome 148.0.7778.179,Kiểm thử chức năng tạo yêu cầu thanh toán học phí (HocVien),,27-05-2026 10:08:25,27-05-2026 10:08:46,"21,362s",PASSED
"testDataPath = TEST_DATA_DIR + ""\TC05_TaoThanhToan.xlsx""",Chrome 148.0.7778.179,,,27-05-2026 10:08:25,27-05-2026 10:08:25,"0,002s",PASSED
fmt = new org.apache.poi.ss.usermodel.DataFormatter(),Chrome 148.0.7778.179,,,27-05-2026 10:08:25,27-05-2026 10:08:25,"0,001s",PASSED
fis = new java.io.FileInputStream(testDataPath),Chrome 148.0.7778.179,,,27-05-2026 10:08:25,27-05-2026 10:08:25,"0,014s",PASSED
wb = new org.apache.poi.xssf.usermodel.XSSFWorkbook(fis),Chrome 148.0.7778.179,,,27-05-2026 10:08:25,27-05-2026 10:08:25,"0,029s",PASSED
sheet = wb.getSheetAt(0),Chrome 148.0.7778.179,,,27-05-2026 10:08:25,27-05-2026 10:08:25,"0,001s",PASSED
fis.close(),Chrome 148.0.7778.179,,,27-05-2026 10:08:25,27-05-2026 10:08:25,"0,001s",PASSED
totalRows = sheet.getLastRowNum(),Chrome 148.0.7778.179,,,27-05-2026 10:08:25,27-05-2026 10:08:25,"0,001s",PASSED
timeout = TIMEOUT,Chrome 148.0.7778.179,,,27-05-2026 10:08:25,27-05-2026 10:08:25,"0,000s",PASSED
"for ([i = 1, i <= totalRows, (i++)])",Chrome 148.0.7778.179,,,27-05-2026 10:08:25,27-05-2026 10:08:46,"21,130s",PASSED
wb.close(),Chrome 148.0.7778.179,,,27-05-2026 10:08:46,27-05-2026 10:08:46,"0,001s",PASSED
"comment(""=== TC05 Hoàn tất ==="")",Chrome 148.0.7778.179,,,27-05-2026 10:08:46,27-05-2026 10:08:46,"0,001s",PASSED
,,,,,,,
Test Cases/TC06_PhanCongGiangVien,Chrome 148.0.7778.179,Kiểm thử chức năng phân công giảng viên cho khóa học (Admin),,27-05-2026 10:08:46,27-05-2026 10:09:30,"44,048s",PASSED
"testDataPath = TEST_DATA_DIR + ""\TC06_PhanCong.xlsx""",Chrome 148.0.7778.179,,,27-05-2026 10:08:46,27-05-2026 10:08:46,"0,002s",PASSED
fmt = new org.apache.poi.ss.usermodel.DataFormatter(),Chrome 148.0.7778.179,,,27-05-2026 10:08:46,27-05-2026 10:08:46,"0,002s",PASSED
fis = new java.io.FileInputStream(testDataPath),Chrome 148.0.7778.179,,,27-05-2026 10:08:46,27-05-2026 10:08:46,"0,002s",PASSED
wb = new org.apache.poi.xssf.usermodel.XSSFWorkbook(fis),Chrome 148.0.7778.179,,,27-05-2026 10:08:46,27-05-2026 10:08:46,"0,008s",PASSED
sheet = wb.getSheetAt(0),Chrome 148.0.7778.179,,,27-05-2026 10:08:46,27-05-2026 10:08:46,"0,001s",PASSED
fis.close(),Chrome 148.0.7778.179,,,27-05-2026 10:08:46,27-05-2026 10:08:46,"0,002s",PASSED
totalRows = sheet.getLastRowNum(),Chrome 148.0.7778.179,,,27-05-2026 10:08:46,27-05-2026 10:08:46,"0,001s",PASSED
timeout = TIMEOUT,Chrome 148.0.7778.179,,,27-05-2026 10:08:46,27-05-2026 10:08:46,"0,001s",PASSED
"for ([i = 1, i <= totalRows, (i++)])",Chrome 148.0.7778.179,,,27-05-2026 10:08:46,27-05-2026 10:09:30,"43,899s",PASSED
wb.close(),Chrome 148.0.7778.179,,,27-05-2026 10:09:30,27-05-2026 10:09:30,"0,001s",PASSED
"comment(""=== TC06 Hoàn tất ==="")",Chrome 148.0.7778.179,,,27-05-2026 10:09:30,27-05-2026 10:09:30,"0,001s",PASSED
